age,favorite,where_drink,additions,style,cups,roast_level,expertise,caffeine,strength,coffee_a_bitterness,coffee_a_personal_preference,coffee_b_bitterness,coffee_a_acidity,coffee_b_personal_preference,prefer_abc,prefer_overall,coffee_d_bitterness,coffee_b_acidity,coffee_c_personal_preference,coffee_d_acidity,coffee_d_personal_preference,coffee_c_bitterness,prefer_ad,coffee_c_acidity,brew,why_drink,taste,know_source,most_paid,wfh,gender,total_spend,most_willing,spent_equipment,value_cafe,value_equipment,education_level
25-34 years old,Pourover,At home,No - just black,Fruity,2,Light,7.0,Full caffeine,Somewhat light,2.0,4.0,3.0,2.0,3.0,Coffee A,Coffee D,1.0,3.0,1.0,4.0,5.0,5.0,Coffee D,1.0,"Pour over, Espresso, Cold brew","It tastes good, I need the ritual",Yes,Yes,More than $20,I primarily work in person,Male,$60-$80,More than $20,"More than $1,000",No,Yes,Bachelor's degree
25-34 years old,Cappuccino,"At the office, At home","Milk, dairy alternative, or coffee creamer, No - just black",Chocolatey,1,Light,3.0,Full caffeine,Medium,1.0,2.0,4.0,4.0,5.0,Coffee B,Coffee B,1.0,1.0,4.0,5.0,1.0,3.0,Coffee A,3.0,"Cold brew, Coffee extract (e.g. Cometeer), Pod/capsule machine (e.g. Keurig/Nespresso), Other","It tastes good, I need the caffeine",Yes,No,$6-$8,I do a mix of both,Female,$60-$80,$10-$15,$20-$50,Yes,Yes,Doctorate or professional degree
18-24 years old,Latte,"At home, At the office, At a cafe","Milk, dairy alternative, or coffee creamer, Flavor syrup",Full Bodied,2,Medium,7.0,Full caffeine,Somewhat strong,2.0,3.0,3.0,4.0,5.0,Coffee B,Coffee B,3.0,1.0,4.0,4.0,1.0,3.0,Coffee A,2.0,"French press, Pod/capsule machine (e.g. Keurig/Nespresso)","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,I do a mix of both,Male,$60-$80,$10-$15,$300-$500,No,Yes,Some college or associate's degree
25-34 years old,Latte,At home,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Sweet,1,Medium,6.0,Full caffeine,Medium,2.0,4.0,2.0,3.0,3.0,Coffee A,Coffee A,1.0,2.0,2.0,4.0,4.0,4.0,Coffee A,2.0,"French press, Cold brew","I need the caffeine, It tastes good",Yes,No,$6-$8,I primarily work in person,Female,<$20,$8-$10,$20-$50,Yes,Yes,Some college or associate's degree
35-44 years old,Latte,"At home, On the go, At a cafe","Milk, dairy alternative, or coffee creamer",Nutty,1,Dark,7.0,Half caff,Somewhat strong,2.0,3.0,3.0,3.0,3.0,Coffee C,Coffee C,2.0,2.0,4.0,4.0,1.0,3.0,Coffee A,1.0,Instant coffee,"It tastes good, I need the caffeine, I need the ritual",Yes,No,$8-$10,I primarily work from home,Female,$20-$40,$6-$8,Less than $20,Yes,Yes,Master's degree
35-44 years old,Espresso,At home,"No - just black, Milk, dairy alternative, or coffee creamer",Fruity,2,Light,7.0,Full caffeine,Very strong,1.0,5.0,3.0,4.0,4.0,Coffee A,Coffee A,2.0,1.0,4.0,5.0,2.0,2.0,Coffee A,3.0,Espresso,It tastes good,Yes,Yes,$10-$15,I primarily work in person,Male,$40-$60,$15-$20,"More than $1,000",No,No,Doctorate or professional degree
25-34 years old,Iced coffee,"At a cafe, At home",No - just black,Fruity,1,Light,8.0,Full caffeine,Medium,1.0,5.0,5.0,4.0,1.0,Coffee A,Coffee A,2.0,1.0,2.0,4.0,4.0,4.0,Coffee A,2.0,"Pour over, Espresso",It tastes good,Yes,Yes,$15-$20,I primarily work in person,Male,$60-$80,More than $20,"More than $1,000",Yes,Yes,Master's degree
25-34 years old,Regular drip coffee,At home,No - just black,Bold,1,Dark,4.0,Full caffeine,Somewhat strong,3.0,3.0,3.0,4.0,5.0,Coffee B,Coffee B,3.0,2.0,4.0,5.0,1.0,3.0,Coffee A,1.0,Coffee brewing machine (e.g. Mr. Coffee),It tastes good,Yes,No,$6-$8,I do a mix of both,Male,<$20,$8-$10,Less than $20,No,Yes,Bachelor's degree
25-34 years old,Espresso,"At home, At a cafe",No - just black,Floral,2,Nordic,8.0,Full caffeine,Medium,1.0,4.0,2.0,4.0,3.0,Coffee A,Coffee A,1.0,3.0,2.0,3.0,3.0,4.0,Coffee A,1.0,"Pour over, Espresso, French press","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$15-$20,I primarily work from home,Male,$80-$100,$15-$20,"More than $1,000",Yes,Yes,Bachelor's degree
25-34 years old,Latte,"At the office, At home","Milk, dairy alternative, or coffee creamer, No - just black",Chocolatey,1,Medium,7.0,Full caffeine,Somewhat strong,2.0,4.0,5.0,4.0,4.0,Coffee A,Coffee A,1.0,1.0,3.0,5.0,4.0,2.0,Coffee A,3.0,Espresso,"It tastes good, I need the ritual",Yes,Yes,$6-$8,I do a mix of both,Male,$20-$40,$6-$8,"More than $1,000",No,Yes,Bachelor's degree
35-44 years old,Cold brew,At home,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Caramalized,1,Medium,5.0,Full caffeine,Somewhat strong,2.0,1.0,3.0,4.0,3.0,Coffee C,Coffee C,2.0,3.0,3.0,4.0,2.0,3.0,Coffee A,2.0,Cold brew,I need the caffeine,No,No,$8-$10,I primarily work from home,Female,$60-$80,$8-$10,$50-$100,Yes,Yes,Bachelor's degree
25-34 years old,Cortado,At home,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",Chocolatey,3,Medium,5.0,Full caffeine,Medium,3.0,2.0,3.0,3.0,4.0,Coffee B,Coffee B,1.0,2.0,3.0,5.0,1.0,4.0,Coffee A,1.0,"Pour over, French press, Espresso","It tastes good, I need the caffeine",Yes,Yes,$6-$8,I primarily work from home,Male,$40-$60,$10-$15,$500-$1000,No,Yes,Master's degree
25-34 years old,Espresso,At home,No - just black,Fruity,2,Light,7.0,Full caffeine,Very strong,1.0,5.0,1.0,4.0,5.0,Coffee B,Coffee B,5.0,5.0,2.0,2.0,3.0,4.0,Coffee A,1.0,Espresso,"It tastes good, I need the ritual",Yes,Yes,$10-$15,I primarily work from home,Male,>$100,More than $20,"More than $1,000",Yes,Yes,Bachelor's degree
25-34 years old,Americano,"At home, At the office",No - just black,Sweet,4,Light,6.0,Full caffeine,Very strong,3.0,5.0,4.0,5.0,2.0,Coffee A,Coffee A,2.0,1.0,1.0,3.0,4.0,3.0,Coffee A,2.0,Bean-to-cup machine,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$15-$20,I primarily work in person,Male,$80-$100,$15-$20,"More than $1,000",Yes,Yes,Doctorate or professional degree
25-34 years old,Latte,"At home, On the go","Milk, dairy alternative, or coffee creamer",Caramalized,Less than 1,Medium,1.0,Decaf,Weak,4.0,2.0,2.0,4.0,5.0,Coffee B,Coffee B,3.0,1.0,1.0,5.0,4.0,5.0,Coffee D,2.0,Pour over,It tastes good,No,No,$6-$8,I do a mix of both,Female,<$20,$6-$8,Less than $20,No,Yes,Master's degree
35-44 years old,Cortado,At home,No - just black,Fruity,1,Light,6.0,Half caff,Somewhat strong,4.0,4.0,4.0,4.0,3.0,Coffee A,Coffee D,5.0,3.0,2.0,4.0,5.0,2.0,Coffee D,2.0,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)","I need the caffeine, I need the ritual, It tastes good",Yes,Yes,$4-$6,I primarily work from home,Male,$20-$40,$4-$6,$300-$500,Yes,Yes,Doctorate or professional degree
25-34 years old,Pourover,"At the office, At home","No - just black, Milk, dairy alternative, or coffee creamer",Fruity,2,Light,8.0,Full caffeine,Medium,3.0,4.0,4.0,4.0,3.0,Coffee A,Coffee D,2.0,3.0,2.0,5.0,5.0,4.0,Coffee D,1.0,"Pour over, Espresso",I need the ritual,Yes,Yes,$6-$8,I primarily work in person,Male,$20-$40,$8-$10,$300-$500,No,Yes,Master's degree
18-24 years old,Pourover,At home,No - just black,Fruity,1,Medium,8.0,Full caffeine,Somewhat strong,1.0,3.0,3.0,5.0,5.0,Coffee B,Coffee D,2.0,2.0,4.0,4.0,5.0,4.0,Coffee D,1.0,"Pour over, Coffee extract (e.g. Cometeer)",It tastes good,Yes,Yes,$15-$20,I primarily work from home,Male,$20-$40,More than $20,$500-$1000,Yes,Yes,High school graduate
55-64 years old,Americano,"At home, At the office, On the go, At a cafe",No - just black,Bright,4,French,7.0,Full caffeine,Medium,4.0,1.0,3.0,2.0,3.0,Coffee C,Coffee D,1.0,3.0,4.0,3.0,5.0,3.0,Coffee D,2.0,"Espresso, French press, Pour over","It tastes good, I need the ritual",Yes,Yes,$8-$10,I primarily work from home,Male,$40-$60,$10-$15,$300-$500,Yes,Yes,Some college or associate's degree
25-34 years old,Americano,"At home, At the office, At a cafe, On the go",No - just black,Full Bodied,2,Medium,8.0,Full caffeine,Somewhat strong,1.0,2.0,3.0,5.0,3.0,Coffee C,Coffee C,4.0,2.0,4.0,4.0,1.0,3.0,Coffee A,2.0,"Espresso, Pour over, French press","I need the ritual, It tastes good",Yes,Yes,$4-$6,I do a mix of both,Male,$20-$40,$8-$10,$50-$100,Yes,Yes,Bachelor's degree
25-34 years old,Regular drip coffee,"At home, At a cafe",No - just black,Caramalized,2,Medium,4.0,Full caffeine,Medium,1.0,3.0,2.0,1.0,5.0,Coffee B,Coffee D,3.0,2.0,4.0,5.0,3.0,5.0,Coffee A,3.0,Coffee brewing machine (e.g. Mr. Coffee),"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$6-$8,I primarily work from home,Male,$20-$40,$6-$8,$500-$1000,Yes,Yes,Bachelor's degree
25-34 years old,Cortado,"At home, At a cafe",No - just black,Fruity,2,Medium,6.0,Full caffeine,Somewhat strong,1.0,5.0,3.0,4.0,3.0,Coffee A,Coffee A,3.0,1.0,1.0,3.0,4.0,4.0,Coffee A,3.0,"Pour over, Other","It tastes good, I need the ritual",Yes,Yes,$8-$10,I primarily work from home,Male,$60-$80,More than $20,$500-$1000,Yes,Yes,Master's degree
35-44 years old,Cortado,At home,"No - just black, Milk, dairy alternative, or coffee creamer",Fruity,2,Blonde,8.0,Half caff,Medium,1.0,5.0,3.0,2.0,3.0,Coffee A,Coffee A,2.0,2.0,2.0,3.0,4.0,3.0,Coffee A,2.0,"Bean-to-cup machine, Pour over","It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,More than $20,I primarily work from home,Male,$60-$80,More than $20,"More than $1,000",No,Yes,Bachelor's degree
55-64 years old,Regular drip coffee,"At home, At the office","Milk, dairy alternative, or coffee creamer",Full Bodied,2,Dark,7.0,Full caffeine,Very strong,1.0,1.0,3.0,3.0,3.0,Coffee B,Coffee B,3.0,2.0,2.0,4.0,2.0,2.0,Coffee D,2.0,"French press, Coffee brewing machine (e.g. Mr. Coffee), Other","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,I primarily work in person,Male,$20-$40,$8-$10,$100-$300,Yes,Yes,Master's degree
25-34 years old,Mocha,At home,"No - just black, Sugar or sweetener",Bright,2,Medium,5.0,Full caffeine,Somewhat strong,3.0,1.0,1.0,4.0,4.0,Coffee B,Coffee B,1.0,1.0,3.0,3.0,4.0,3.0,Coffee D,2.0,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew",It tastes good,Yes,Yes,$6-$8,I primarily work in person,Non-binary,$20-$40,$6-$8,$100-$300,No,Yes,High school graduate
